id,make,model,verdict_significance
bmw-ce-04-2022,BMW,CE-04,7
ducati-monster-2021,Ducati,Monster,8
kawasaki-z1-900-1972,Kawasaki,Z1,10
honda-cb400-four-1975,Honda,CB400,8
suzuki-gt750-1972,Suzuki,GT750,8
yamaha-xs650-1970,Yamaha,XS650,7
honda-vf1000r-1984,Honda,VF1000R,7
honda-cbr600rr-2003,Honda,CBR600RR,8
kawasaki-zx-6r-2003,Kawasaki,ZX-6R,8
yamaha-yzf-r6-2003,Yamaha,YZF-R6,8
suzuki-gsx-r600-2006,Suzuki,GSX-R600,8
triumph-tt600-2000,Triumph,TT600,6
honda-vfr1200f-2010,Honda,VFR1200F,7
kawasaki-gtr1400-2008,Kawasaki,GTR1400,8
honda-cbr1000rr-fireblade-sp-2017,Honda,CBR1000RR,9
yamaha-yzf-r1-2015,Yamaha,YZF-R1,9
aprilia-rs125-1995,Aprilia,RS125,8
yamaha-yzf-r125-2008,Yamaha,YZF-R125,8
honda-cbr125r-2004,Honda,CBR125R,7
ktm-125-duke-2011,KTM,125 Duke,8
suzuki-gsx-r125-2017,Suzuki,GSX-R125,7
honda-pcx125-2010,Honda,PCX125,8
vespa-gts-300-2008,Vespa,GTS,8
yamaha-xmax-300-2017,Yamaha,XMAX,8
honda-forza-350-2021,Honda,Forza,8
harley-davidson-fat-boy-1990,Harley-Davidson,Fat Boy,7
harley-davidson-street-bob-2006,Harley-Davidson,Street Bob,7
harley-davidson-road-king-1994,Harley-Davidson,Road King,8
moto-guzzi-griso-2005,Moto Guzzi,Griso,7
bmw-f800st-2006,BMW,F800ST,7
bmw-g650gs-2008,BMW,G650GS,7
suzuki-gsx650f-2008,Suzuki,GSX650F,6
kawasaki-ninja-300-2013,Kawasaki,Ninja 300,7
honda-cb125f-2015,Honda,CB125F,7
lexmoto-lxr-125-2017,Lexmoto,LXR,5
ducati-scrambler-1100-2018,Ducati,Scrambler,7
triumph-rocket-3-r-2020,Triumph,Rocket 3,8
bmw-r1250rt-2019,BMW,R1250RT,9
ktm-390-adventure-2020,KTM,390 Adventure,7
honda-cb650r-2024,Honda,CB650R,8
yamaha-xsr900-2022,Yamaha,XSR900,9
suzuki-gsx-8r-2024,Suzuki,GSX-8R,8
kawasaki-eliminator-500-2023,Kawasaki,Eliminator,7
honda-nc750s-2014,Honda,NC750S,7
aprilia-shiver-900-2017,Aprilia,Shiver,7
mv-agusta-brutale-800-2013,MV Agusta,Brutale,8
norton-commando-961-2010,Norton,Commando,6
honda-fireblade-cbr1000rr-r-sp-2020,Honda,Fireblade,9
maeving-rm1-2022,Maeving,RM1,7
maeving-rm1s-2023,Maeving,RM1S,8
livewire-one-2021,LiveWire,One,7
livewire-s2-del-mar-2024,LiveWire,S2 Del Mar,8
zero-s-2013,Zero,S,7
zero-fxe-2022,Zero,FXE,7
zero-ds-2013,Zero,DS,7
energica-eva-ribelle-2020,Energica,Eva Ribelle,7
super-soco-tc-max-2019,Super Soco,TC Max,6
vespa-px125-1978,Vespa,PX125,8
vespa-px200-1977,Vespa,PX200,8
vespa-t5-1985,Vespa,T5,7
lambretta-li-150-1958,Lambretta,LI 150,8
lambretta-sx200-1966,Lambretta,SX200,9
lambretta-gp200-1969,Lambretta,GP200,9
bsa-bantam-1948,BSA,Bantam,7
bsa-c15-1958,BSA,C15,6
bsa-b31-1945,BSA,B31,7
bsa-a10-golden-flash-1950,BSA,A10,8
bsa-a65-lightning-1964,BSA,A65,7
bsa-gold-star-dbd34-1956,BSA,Gold Star,10
bsa-m20-1937,BSA,M20,6
ariel-red-hunter-1932,Ariel,Red Hunter,8
ariel-leader-1958,Ariel,Leader,7
ajs-model-18-1945,AJS,Model 18,7
matchless-g80-1946,Matchless,G80,7
velocette-venom-1955,Velocette,Venom,9
norton-dominator-99-1952,Norton,Dominator,8
panther-m100-1932,Panther,M100,7
triumph-bonneville-speedmaster-1200-2018,Triumph,Bonneville Speedmaster,8
triumph-scrambler-400-x-2024,Triumph,Scrambler 400 X,8
bmw-r1200rs-2015,BMW,R1200RS,7
yamaha-mt-10-2016,Yamaha,MT-10,8
yamaha-tracer-7-2021,Yamaha,Tracer 7,8
yamaha-xsr125-2021,Yamaha,XSR125,8
yamaha-tricity-125-2014,Yamaha,Tricity 125,7
yamaha-tricity-300-2020,Yamaha,Tricity 300,7
yamaha-x-max-125-2018,Yamaha,X-Max 125,8
suzuki-gsx1300r-hayabusa-gen-2-2008,Suzuki,GSX1300R,9
suzuki-gsx1250fa-2010,Suzuki,GSX1250FA,7
suzuki-v-strom-1050-2020,Suzuki,V-Strom 1050,8
suzuki-gsx250r-2017,Suzuki,GSX250R,6
suzuki-burgman-an650-2003,Suzuki,Burgman,7
moto-guzzi-v85-tt-2019,Moto Guzzi,V85 TT,8
moto-guzzi-v100-mandello-2022,Moto Guzzi,V100 Mandello,8
moto-guzzi-v7-iii-2017,Moto Guzzi,V7 III,7
ktm-690-enduro-r-2008,KTM,690 Enduro R,8
ktm-790-adventure-2019,KTM,790 Adventure,8
ktm-1050-adventure-2015,KTM,1050 Adventure,7
ktm-890-smt-2023,KTM,890 SMT,8
royal-enfield-classic-350-2021,Royal Enfield,Classic 350,8
royal-enfield-meteor-350-2021,Royal Enfield,Meteor 350,7
aprilia-tuono-v4-1100-2021,Aprilia,Tuono V4 1100,9
honda-ntv650-revere-1988,Honda,NTV650,7
honda-cbx750-1984,Honda,CBX750,7
honda-c90-super-cub-1966,Honda,C90,9
honda-cb650f-2014,Honda,CB650F,7
honda-cbr250r-2011,Honda,CBR250R,7
honda-cbr300r-2014,Honda,CBR300R,7
honda-st1100-pan-european-1990,Honda,ST1100,8
honda-xl650v-transalp-2000,Honda,XL650V,7
honda-xl700v-transalp-2008,Honda,XL700V,7
honda-nc700x-2012,Honda,NC700X,7
honda-gl1000-gold-wing-1975,Honda,GL1000,8
honda-gl1500-gold-wing-1988,Honda,GL1500,8
honda-vision-110-2011,Honda,Vision 110,7
honda-cbf125-2009,Honda,CBF125,7
kawasaki-z800-2013,Kawasaki,Z800,7
kawasaki-gpz500s-1987,Kawasaki,GPZ500S,7
kawasaki-z550-1980,Kawasaki,Z550,6
kawasaki-vulcan-900-2006,Kawasaki,Vulcan 900,7
kawasaki-klx250-2009,Kawasaki,KLX250,7
kawasaki-z125-2019,Kawasaki,Z125,7
kawasaki-er-6f-2006,Kawasaki,ER-6F,7
kawasaki-zx-6r-1995,Kawasaki,ZX-6R,7
suzuki-gs500-1989,Suzuki,GS500,7
suzuki-sv1000-2003,Suzuki,SV1000,7
suzuki-gladius-sfv650-2009,Suzuki,Gladius,7
suzuki-inazuma-250-2012,Suzuki,Inazuma 250,6
suzuki-marauder-125-1998,Suzuki,Marauder 125,6
suzuki-v-strom-1000-2014,Suzuki,V-Strom 1000,8
suzuki-gs850-1979,Suzuki,GS850,7
yamaha-yzf750r-1993,Yamaha,YZF750R,7
yamaha-wr125r-2009,Yamaha,WR125R,8
yamaha-rd250-1973,Yamaha,RD250,8
yamaha-xv535-virago-1988,Yamaha,XV535,7
aprilia-mana-850-2007,Aprilia,Mana 850,6
aprilia-dorsoduro-750-2008,Aprilia,Dorsoduro 750,7
aprilia-caponord-1000-2001,Aprilia,Caponord 1000,6
moto-guzzi-v9-bobber-2016,Moto Guzzi,V9 Bobber,7
triumph-thunderbird-sport-1998,Triumph,Thunderbird Sport,7
royal-enfield-continental-gt-650-2018,Royal Enfield,Continental GT 650,8
bsa-b25-1967,BSA,B25,6
ktm-450-exc-2003,KTM,450 EXC,8
sinnis-terrain-380-2019,Sinnis,Terrain 380,6
zontes-zt125-gk-2022,Zontes,ZT125-GK,7
zontes-zt310-m-2021,Zontes,ZT310-M,6
mutt-mongrel-125-2016,Mutt,Mongrel 125,7
mutt-drk-01-250-2020,Mutt,DRK-01 250,7
herald-classic-400-2017,Herald,Classic 400,6
keeway-superlight-125-2007,Keeway,Superlight 125,6
kymco-visar-125-2020,Kymco,Visar 125,6
hyosung-gt650-2004,Hyosung,GT650,5
piaggio-vespa-lx125-2005,Piaggio,Vespa LX125,7
peugeot-speedfight-1997,Peugeot,Speedfight,6
gilera-runner-1997,Gilera,Runner,7
cfmoto-300sr-2021,CFMoto,300SR,7
fantic-caballero-500-2018,Fantic,Caballero 500,7
lml-star-deluxe-200-2000,LML,Star Deluxe 200,6
talaria-sting-2021,Talaria,Sting,7
horwin-ek1-2020,Horwin,EK1,6
honda-cb1000-hornet-2024,Honda,CB1000 Hornet,8
honda-cbr650r-2019,Honda,CBR650R,8
honda-cbr600rr-2021,Honda,CBR600RR,9
honda-adv350-2022,Honda,ADV350,8
honda-forza-125-2015,Honda,Forza 125,8
honda-forza-750-2021,Honda,Forza 750,8
honda-gb350s-2023,Honda,GB350S,8
honda-cl500-2023,Honda,CL500,7
honda-nx500-2024,Honda,NX500,7
honda-cb300r-2018,Honda,CB300R,7
honda-cb125r-2018,Honda,CB125R,8
honda-super-cub-c125-2018,Honda,Super Cub C125,8
honda-monkey-125-2018,Honda,Monkey 125,8
honda-dax-125-2023,Honda,DAX 125,7
yamaha-nmax-125-2015,Yamaha,NMAX 125,8
yamaha-r9-2025,Yamaha,R9,9
yamaha-dt125-1974,Yamaha,DT125,8
kawasaki-ninja-1100sx-2025,Kawasaki,Ninja 1100SX,9
kawasaki-ninja-500-2024,Kawasaki,Ninja 500,7
kawasaki-ninja-125-2019,Kawasaki,Ninja 125,7
kawasaki-z-h2-2020,Kawasaki,Z H2,9
kawasaki-ninja-h2-sx-2018,Kawasaki,Ninja H2 SX,9
suzuki-gsx-s125-2017,Suzuki,GSX-S125,7
suzuki-burgman-400-2007,Suzuki,Burgman 400,8
suzuki-dr-z400-2000,Suzuki,DR-Z400,8
suzuki-gsx-s1000gx-2024,Suzuki,GSX-S1000GX,8
suzuki-sv650x-2018,Suzuki,SV650X,8
suzuki-address-125-2015,Suzuki,Address 125,7
bmw-c400gt-2019,BMW,C400GT,7
bmw-f900r-2020,BMW,F900R,7
bmw-f900gs-2024,BMW,F900GS,8
bmw-r12-ninet-2024,BMW,R12 nineT,8
bmw-r1300rs-2025,BMW,R1300RS,8
bmw-k1600gtl-2011,BMW,K1600GTL,9
bmw-m1000xr-2024,BMW,M1000XR,9
bmw-r1250r-2019,BMW,R1250R,8
bmw-r1250rs-2019,BMW,R1250RS,8
triumph-tiger-sport-800-2024,Triumph,Tiger Sport 800,8
triumph-tiger-1200-2022,Triumph,Tiger 1200,8
triumph-scrambler-1200-2019,Triumph,Scrambler 1200,8
triumph-speed-twin-900-2019,Triumph,Speed Twin 900,8
triumph-tiger-sport-850-2021,Triumph,Tiger Sport 850,7
ducati-hypermotard-698-2024,Ducati,Hypermotard 698,8
ducati-diavel-v4-2023,Ducati,Diavel V4,9
ducati-panigale-v4-2018,Ducati,Panigale V4,10
aprilia-rs457-2024,Aprilia,RS457,8
aprilia-sr-gt-125-2022,Aprilia,SR GT 125,7
royal-enfield-shotgun-650-2024,Royal Enfield,Shotgun 650,8
royal-enfield-guerrilla-450-2024,Royal Enfield,Guerrilla 450,8
royal-enfield-himalayan-450-2024,Royal Enfield,Himalayan 450,8
bsa-gold-star-650-2022,BSA,Gold Star 650,7
husqvarna-norden-901-2022,Husqvarna,Norden 901,8
husqvarna-701-enduro-2016,Husqvarna,701 Enduro,8
husqvarna-701-supermoto-2016,Husqvarna,701 Supermoto,8
husqvarna-svartpilen-125-2020,Husqvarna,Svartpilen 125,7
ktm-rc125-2014,KTM,RC125,7
ktm-390-smc-r-2024,KTM,390 SMC R,8
ktm-1390-super-duke-r-2024,KTM,1390 Super Duke R,9
mv-agusta-superveloce-800-2020,MV Agusta,Superveloce 800,9
voge-ds625x-2023,Voge,DS625X,7
voge-ds900x-2024,Voge,DS900X,7
voge-r125-2023,Voge,R125,7
benelli-bn125-2018,Benelli,BN125,6
benelli-752s-2019,Benelli,752S,7
benelli-trk-702-2023,Benelli,TRK 702,7
cfmoto-800nk-2023,CFMoto,800NK,7
cfmoto-450mt-2024,CFMoto,450MT,8
cfmoto-300nk-2018,CFMoto,300NK,6
royal-alloy-gp125-2018,Royal Alloy,GP125,7
lambretta-v125-special-2018,Lambretta,V125 Special,6
piaggio-liberty-125-2005,Piaggio,Liberty 125,7
piaggio-mp3-300-2007,Piaggio,MP3 300,7
beta-rr-4t-125-2018,Beta,RR 4T 125,7
stark-varg-2022,Stark,VARG,8
moto-morini-calibro-700-2023,Moto Morini,Calibro 700,7
rieju-mrt-50-2010,Rieju,MRT 50,7
niu-nqi-gts-2019,NIU,NQi GTS,7
sym-symphony-125-2015,SYM,Symphony 125,7
harley-davidson-electra-glide-1965,Harley-Davidson,Electra Glide,8
harley-davidson-road-glide-1998,Harley-Davidson,Road Glide,8
harley-davidson-street-glide-2006,Harley-Davidson,Street Glide,8
harley-davidson-heritage-softail-1986,Harley-Davidson,Heritage Softail,8
harley-davidson-fat-bob-2008,Harley-Davidson,Fat Bob,7
harley-davidson-breakout-2013,Harley-Davidson,Breakout,7
harley-davidson-low-rider-s-2016,Harley-Davidson,Low Rider S,8
harley-davidson-sportster-s-2021,Harley-Davidson,Sportster S,7
harley-davidson-softail-standard-2020,Harley-Davidson,Softail Standard,7
indian-chief-2014,Indian,Chief,8
indian-chieftain-2014,Indian,Chieftain,8
indian-springfield-2016,Indian,Springfield,8
